Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temp. [Celsius],RH [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Thoron [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),,Total Live Time,Total Radon in Water (D/L),Mean Radon (DPM/L),Sigma (DPM/L)
438,1/6/2019 11:44,19,1,6,11,44,1,5.6,100,0,0,0,2218,8,31.9,9,1,6.18,60,134,0.7597341,3.668321,255,84,1,0,Sniff,1.9,0,0.3,0,37.7,0,0,1,0,0,0,0,0.179,0,0,0,0,,5.6,1.68,0.3,0.470905456
439,1/6/2019 11:50,19,1,6,11,50,0,5.6,0,0,0,0,2201,9,33.8,9,1,6.21,60,134,0,3.038936,255,84,2,N/A,Sniff,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
440,1/6/2019 11:56,19,1,6,11,56,0,5.6,0,0,0,0,2218,8,35,9,1,6.18,60,134,0,3.038936,255,84,3,N/A,Sniff,0,0,0,0,37.2,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
441,1/6/2019 12:02,19,1,6,12,2,1,5.6,100,0,0,0,2218,8,34.7,8,1,6.24,60,134,0.7597341,3.668321,255,84,4,0,Sniff,1.9,0,0.4,0,36.2,0,0,1,0,0,0,0,0.179,0,0,0,0,,5.6,2.24,0.4,0.5
442,1/6/2019 12:08,19,1,6,12,8,2,5.6,100,0,0,0,2218,8,34.1,8,1,6.18,60,134,1.526252,4.169797,255,84,5,0,Sniff,0,0,0.7,0,39.4,0,0,2,0,0,0,0,0.357,0,0,0,0,,5.6,3.92,0.7,0.574662018
443,1/6/2019 12:14,19,1,6,12,14,5,5.6,40,20,20,0,2201,8,34.4,8,1,6.21,60,134,1.526252,4.169797,255,84,6,0.5,Sniff,0,4,0.6,6,39.4,0.309,1.11,2,1,1,0,1,0.357,0.179,0.179,0,0.179,,5.6,3.36,0.6,0.551439518
444,1/6/2019 12:20,19,1,6,12,20,4,5.6,100,0,0,0,2218,8,35,8,1,6.18,60,134,3.052504,4.939054,255,84,7,0,Sniff,8,0,1.2,0,37.6,0,0,4,0,0,0,0,0.714,0,0,0,0,,5.6,6.72,1.2,0.674730142
445,1/6/2019 12:26,19,1,6,12,26,3,5.6,33.3,0,66.7,0,2218,8,35.6,8,1,6.21,60,134,0.7631259,3.684697,255,84,8,2,Sniff,1.9,0,0.3,0,39.5,0.397,1.42,1,0,2,0,0,0.178,0,0.357,0,0,,5.6,1.68,0.3,0.470905456
446,1/6/2019 12:32,19,1,6,12,32,2,5.6,0,0,50,50,2218,9,35.9,8,1,6.15,60,134,0,3.052504,255,84,9,N/A,Sniff,0,0,0,0,37.6,0.27,0.997,0,0,1,1,0,0,0,0.179,0.179,0,,5.6,0,0,0.357142857
447,1/6/2019 14:20,19,1,6,14,20,1,5.6,0,100,0,0,2218,8,38.9,8,1,6.18,60,134,0,3.038936,255,85,1,N/A,Sniff,0,4,0,7,30.6,0,0,0,1,0,0,0,0,0.179,0,0,0,,5.6,0,0,0.357142857
448,1/6/2019 14:26,19,1,6,14,26,1,5.6,0,100,0,0,2218,8,38.9,8,1,6.21,60,134,0,3.038936,255,85,2,N/A,Sniff,0,4,0,7,31,0,0,0,1,0,0,0,0,0.179,0,0,0,,5.6,0,0,0.357142857
449,1/6/2019 14:32,19,1,6,14,32,2,5.6,100,0,0,0,2218,9,38.9,8,1,6.21,60,134,1.526252,4.169797,255,85,3,0,Sniff,4,0,0.7,0,31.1,0,0,2,0,0,0,0,0.357,0,0,0,0,,5.6,3.92,0.7,0.574662018
450,1/6/2019 14:38,19,1,6,14,38,0,5.6,0,0,0,0,2218,8,38.9,8,0,6.15,60,134,0,3.038936,255,85,4,N/A,Sniff,0,0,0,0,30.6,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
451,1/6/2019 14:44,19,1,6,14,44,2,5.6,100,0,0,0,2218,8,38.6,7,0,6.18,60,134,1.526252,4.169797,255,85,5,0,Sniff,0,0,0.7,0,31.3,0,0,2,0,0,0,0,0.357,0,0,0,0,,5.6,3.92,0.7,0.574662018
452,1/6/2019 14:50,19,1,6,14,50,0,5.6,0,0,0,0,2218,9,38.3,7,0,6.18,60,134,0,3.038936,255,85,6,N/A,Sniff,0,0,0,0,32.3,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
453,1/6/2019 14:56,19,1,6,14,56,1,5.6,100,0,0,0,2218,8,38.3,7,0,6.18,60,134,0.7631259,3.684697,255,85,7,0,Sniff,1.9,0,0.4,0,34.5,0,0,1,0,0,0,0,0.179,0,0,0,0,,5.6,2.24,0.4,0.5
454,1/6/2019 15:02,19,1,6,15,2,3,5.6,66.7,0,33.3,0,2218,9,38.3,7,0,6.18,60,134,1.526252,4.169797,255,85,8,0.499,Sniff,0,0,0.7,0,33.5,0.28,1.12,2,0,1,0,0,0.357,0,0.178,0,0,,5.6,3.92,0.7,0.574662018
455,1/6/2019 15:08,19,1,6,15,8,3,5.6,33.3,0,0,0,2218,9,38.3,7,0,6.18,60,134,0.7631259,3.684697,255,85,9,0,Sniff,1.9,0,0.4,0,33,0,0,1,0,0,0,2,0.178,0,0,0,0.357,,5.6,2.24,0.4,0.5
456,1/6/2019 15:14,19,1,6,15,14,0,5.6,0,0,0,0,2218,8,38,7,0,6.18,60,134,0,3.038936,255,85,10,N/A,Sniff,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
457,1/6/2019 15:20,19,1,6,15,20,2,5.6,50,0,50,0,2218,9,37.7,7,0,6.18,60,134,0.7631259,3.684697,255,85,11,1,Sniff,1.9,0,0.3,0,32.5,0.28,1.15,1,0,1,0,0,0.179,0,0.179,0,0,,5.6,1.68,0.3,0.470905456
458,1/6/2019 15:26,19,1,6,15,26,4,5.6,50,0,50,0,2218,8,37.4,7,0,6.15,60,134,1.526252,4.169797,255,85,12,1,Sniff,0,0,0.7,0,31.9,0.397,1.64,2,0,2,0,0,0.357,0,0.357,0,0,,5.6,3.92,0.7,0.574662018
459,1/6/2019 15:32,19,1,6,15,32,2,5.6,0,0,50,0,2218,9,36.8,7,0,6.15,60,134,0,3.052504,255,85,13,N/A,Sniff,0,0,0,0,31.1,0.27,1.14,0,0,1,0,1,0,0,0.179,0,0.179,,5.6,0,0,0.357142857
460,1/6/2019 15:38,19,1,6,15,38,0,5.6,0,0,0,0,2218,9,36.5,7,0,6.15,60,134,0,3.038936,255,85,14,N/A,Sniff,0,0,0,0,30.9,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
461,1/6/2019 17:26,19,1,6,17,26,0,5.6,0,0,0,0,2218,8,29.5,7,0,6.12,60,134,0,3.038936,255,86,1,N/A,Sniff,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
462,1/6/2019 17:32,19,1,6,17,32,0,5.6,0,0,0,0,2236,8,29.5,7,0,6.15,60,134,0,3.038936,255,86,2,N/A,Sniff,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
463,1/6/2019 17:38,19,1,6,17,38,1,5.6,0,0,100,0,2218,8,29.5,7,0,6.12,60,134,0,3.038936,255,86,3,N/A,Sniff,0,0,0,0,27.8,0.27,1.23,0,0,1,0,0,0,0,0.179,0,0,,5.6,0,0,0.357142857
464,1/6/2019 17:44,19,1,6,17,44,0,5.6,0,0,0,0,2236,9,29.2,7,0,6.12,60,134,0,3.038936,255,86,4,N/A,Sniff,0,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
465,1/6/2019 17:50,19,1,6,17,50,1,5.6,0,100,0,0,2218,8,29.5,7,0,6.12,60,134,0,3.038936,255,86,5,N/A,Sniff,0,3,0,7,28.3,0,0,0,1,0,0,0,0,0.179,0,0,0,,5.6,0,0,0.357142857
466,1/6/2019 17:56,19,1,6,17,56,0,5.6,0,0,0,0,2218,8,29.2,6,0,6.12,60,134,0,3.038936,255,86,6,N/A,Sniff,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,,5.6,0,0,0.357142857
467,1/6/2019 18:02,19,1,6,18,2,3,5.6,0,0,0,33.3,2218,8,29.2,6,0,6.12,60,134,0,3.052504,255,86,7,N/A,Sniff,0,0,0,0,28.8,0,0,0,0,0,1,2,0,0,0,0.178,0.357,,5.6,0,0,0.357142857
468,1/6/2019 18:08,19,1,6,18,8,1,5.6,0,0,0,0,2218,8,29.2,6,0,6.09,60,134,0,3.038936,255,86,8,N/A,Sniff,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0.179,,5.6,0,0,0.357142857
469,1/6/2019 18:14,19,1,6,18,14,2,5.6,50,0,50,0,2218,8,28.9,6,0,6.12,60,134,0.7631259,3.684697,255,86,9,1,Sniff,1.8,0,0.4,0,28,0.28,1.27,1,0,1,0,0,0.179,0,0.179,0,0,,5.6,2.24,0.4,0.5
470,1/6/2019 18:20,19,1,6,18,20,2,5.6,0,0,50,50,2218,8,28.9,6,0,6.12,60,134,0,3.052504,255,86,10,N/A,Sniff,0,0,0,0,28,0.27,1.22,0,0,1,1,0,0,0,0.179,0.179,0,,5.6,0,0,0.357142857
